node1,node2,Operation
AKT1,BCL2,activate
AKT1,BRAF,activate
AKT1,BRAF,inhibit
AKT1,GSK3B,inhibit
AKT1,MAPK1,activate
BRAF,MAP2K2,activate
CDKN2A,NPM1,inhibit
CDKN2A,TP53,activate
CEBPA,MYC,inhibit
CEBPA,SOX4,inhibit
DNMT3A,CCND1,inhibit
DNMT3A,CDKN2A,inhibit
DNMT3A,HOXA9,inhibit
DNMT3A,MEIS1,inhibit
FBXW7,MYC,inhibit
FLT3,AKT1,activate
FLT3,CEBPA,inhibit
FLT3,MYC,activate
FLT3,PTPN11,activate
FLT3,STAT5A,activate
GSK3B,CCND1,inhibit
GSK3B,CEBPA,activate
GSK3B,MYC,inhibit
GSK3B,TP53,activate
HOXA9,MEIS1,activate
MAP2K2,MAPK1,activate
MAPK1,BCL2,activate
MAPK1,BRAF,inhibit
MAPK1,CEBPA,inhibit
MAPK1,ETV6,inhibit
MAPK1,GSK3B,inhibit
MAPK1,MYC,activate
MAPK1,STAT5A,activate
MYC,CCND1,activate
MYC,CDKN2A,inhibit
MYC,DNMT3A,activate
NPM1,CDKN2A,activate
NPM1,FBXW7,activate
NPM1,HOXA9,inhibit
NRAS,BRAF,activate
PTPN11,NRAS,activate
STAT5A,DNMT3A,inhibit
STAT5A,DNMT3A,activate
TP53,BCL2,inhibit
